yacimiento;refMLH;refHesperia;texto;municipio;provincia;material;soporte;direccion_escritura;tecnica;signario;sistema_dual;separadores;datacion
Empúries;C.01.07;GI.10.13;bintaŕe;L'Escala;Girona;PIEDRA;Colgante;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Insegura: siglos II - I a.C.
Empúries;C.01.08;GI.10.14;sorseideŕketaiḿi;L'Escala;Girona;PIEDRA;PESO?;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglo III - comienzos del s. II a.C.
Empúries;C.01.09;GI.10.15;a): goŕotiginai b): u̱ḵa̱ḻ c): auŕgeŕen;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglo IV a.C.
Empúries;C.01.10;GI.10.28;ultibeleś;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Segunda mitad del s. II a.C.
Empúries;C.01.11;GI.10.22;balkar[---];L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Mediados s. II - mediados s. I a.C.
Empúries;C.01.13LATINA;GI.10.LATINA;a iueś ubieke b uḿbal;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO APLICA;CARECE;
Empúries;C.01.14;GI.10.26;nu;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo II - mediados s. I a.C.
Empúries;C.01.16;GI.10.24;a) ka b) noa? c) bin d) oka?;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo II - mediados s. I a.C.
Empúries;C.01.17;GI.10.23;ben;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Mediados s. II - mediados s. I a.C.
Empúries;C.01.18;GI.10.27;on;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Segunda mitad del s. II a.C.
Empúries;C.01.19;GI.10.29;uo;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Finales s. III - siglo II a.C.
Empúries;C.01.20;GI.10.25;is;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Segunda mitad del s. II a.C.
Empúries;C.01.22;GI.10.31;a) takoe b) otin;L'Escala;Girona;CERAMICA;TESERA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglos II - I a.C.
Empúries;C.01.23;GI.10.32;a) bin b) en;L'Escala;Girona;BRONCE;TESERA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglos II - I a.C.
El Puig de Sant Andreu;C.02.01;GI.15.01;[---]bibeŕ+[---];Ullastret;Girona;PIEDRA;ESTRUC. ARQUIT.;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Anterior a mediados del s. IV a.C.
El Puig de Sant Andreu;C.02.02;GI.15.02;[---]i;Ullastret;Girona;PIEDRA;ESTRUC. ARQUIT.;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Anterior a mediados del s. IV a.C.
El Puig de Sant Andreu;C.02.03;GI.15.04;A: ar:basiaŕebe ebaŕikame:tuikesiŕa:borste:abaŕgeborste:teŕ diŕs:baidesbi:neitegeŕu:taŕbelioŕku:timoŕ kiŕ:bardaśko:anbeiku:baidesir:salduko:kuletabeŕku+ bigildiŕste:eŕeśu:kodibanen:eberga:taśkaliŕs 5 loŕsa:batibi:biuŕtaneś:saldugileŕku:gi B: badaŕun:atabager:abaśager:tasbeŕiun:erna:borakau;Ullastret;Girona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;DUAL;DOS PUNTOS;Finales del s. III o comienzos del II a.C.
El Puig de Sant Andreu;C.02.04;GI.15.05;aŕka(+)ibe[ biuŕau[ eteso - - -]+s[ - - -]tar[ +biuŕso ++ biuŕtibaś lauŕdo eteśuŕ ie I I I I[-]o -]te+[- -]++;Ullastret;Girona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;DUAL;;Segunda mitad del s. IV - comienzos s. III a.C.
El Puig de Sant Andreu;C.02.05;GI.15.06;unibelo[ baitaś:tegar[ goroiker[ tortinai[;Ullastret;Girona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;DUAL;TRES PUNTOS;Siglo IV a.C.
El Puig de Sant Andreu;C.02.06;GI.15.07;aŕgi[ bideu[ okano[ śal[;Ullastret;Girona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Aprox. 275 - 200 a.C.
El Puig de Sant Andreu;C.02.07;GI.15.08;is[ si[;Ullastret;Girona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Aprox. 275 - 200 a.C.
El Puig de Sant Andreu;C.02.08;GI.15.09;1 neitiniunstir 2 anbaikabalika 3 ilbikon 4 +ŕkelki 5 koen (vac) ekiaŕakerbikir (vac) ban 6 auskeikaŕ;Ullastret;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglos V - IV a.C.
El Puig de Sant Andreu;C.02.09;GI.15.10;agiṯi̱gem;Ullastret;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglos V - IV a.C.
El Puig de Sant Andreu;C.02.10;GI.15.26;a) otikiŕtekeŕ b) su;Ullastret;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglos V - IV a.C.
El Puig de Sant Andreu;C.02.11;GI.15.19;ildiŕbaś;Ullastret;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglos V - IV a.C.
El Puig de Sant Andreu;C.02.12;GI.15.12;bardoin;Ullastret;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglos V - IV a.C.
El Puig de Sant Andreu;C.02.13;GI.15.22;keltaio;Ullastret;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglos V - IV a.C.
El Puig de Sant Andreu;C.02.14;GI.15.23;kośi;Ullastret;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglos V - IV a.C.
El Puig de Sant Andreu;C.02.15;GI.15.25;otami[---];Ullastret;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglos V - IV a.C.
El Puig de Sant Andreu;C.02.16;GI.15.53;osaton;Ullastret;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Indeterminada.
