yacimiento;refMLH;refHesperia;texto;municipio;provincia;material;soporte;direccion_escritura;tecnica;signario;sistema_dual;separadores;datacion
Desconocido;K.00.06;CU.00.01;atulnkum;Desconocido;Cuenca;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;CARECE;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Desconocido;K.00.07;SP.02.03;[.]rdas̱:ob̲o̲i:gortono: alab̲o̲i:a̲t̲i̱go:ueidui argatobezom:loudu 3 loukaiteidutas:dures bundalos:gortonei;Desconocido;Desconocida;BRONCE;LAMINA/PLANCHA;DEXTROGIRA;INCISION;CELTIBERICO W.;DUAL;TRES PUNTOS;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Desconocido;K.00.08;SP.02.04;letontu auz:soz;Desconocido;Desconocida;BRONCE;PEANA o PESA ?;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;3 rayas;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Desconocido;K.00.09;SP.02.05;retukeno:uisal- ikum;Desconocido;Desconocida;BRONCE;TESERA;BUSTROFEDON;INCISION;CELTIBERICO E.;NO DUAL;TRES PUNTOS;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Desconocido;K.00.10;SP.02.06;A: otoni:a- B: ntor- C: os D: biltire- E: i:gor- F: tika;Desconocido;Desconocida;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO E.;DUAL;"A: dos puntos; B: tres puntos";Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Desconocido;K.00.11;SP.02.01;A: sekilako:amikum:melmunos B: ata C: arekorati- D: ka:kar E: bistiros:lastiko: F: ueizos;Desconocido;Desconocida;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;DOS PUNTOS;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Castro de Villasviejas de Tamuja;K.00.12;CC.04.02;k̲a̲ tar le;Botija;Cáceres;PLATA;;DEXTROGIRA;INCISION;CELTIBERICO W.;NO DUAL;CARECE;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Desconocido;K.00.13;SP.02.07SUSPECTA;duinikukuei: kortonikum :kar:;Desconocido;Desconocida;PLATA;TESERA;BUSTROFEDON;INCISION;CELTIBERICO W.;DUAL;tres y cuatro puntos;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Desconocido;K.00.14;SP.02.08SUSPECTA;A: kuekuetikui:ne̱kue.esozeres nekue:esianto: l̲ameiste:ainolikum: retukeno: ueiziai: mitai:autom: ailai B: tunares:ne̲z̲okim:+res: auzares:korta:o akaizokum̲:mezutos terberez: mozim:tizauiom auzares:;Desconocido;Desconocida;BRONCE;LAMINA/PLANCHA;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;2, 3, 4, y 5 puntos;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Cabezo de las Minas (Contrebia Belaisca);K.01.01;Z.09.01;A: 1. tirikaṉtam:berkunetakam:tokoitoskue:sarnikio:kue:sua:kombalkez:nelitom 2. nekue[:]t̲o̲[.]ertaunei:litom:nekue:taunei:litom:nekue:masnai:tizaunei:litom:soz:auku 3. ares̱tal̲o̲:tamai:uta:oskuez:stena:uerzoniti:silabur:sleitom:konskilitom:kabizeti 4. kantom:sankilistara :otanaum:tokoitei:eni:uta:oskuez:boustomue:koruinomue 5. makasi[.]mue:ailamue:ambitiseti:kamanom:usabituz:ozas:sues:sailo:kusta:bizetuz:iom 6. asekati[..]mbitinkounei:stena:es:uertai:entara:tiris:matus:tinbituz:neito:tirnkantam 7. e̲n̲i:oi̱satuz:iomui:listas:titas:zizonti:somui:iom:arznas:bionti:iom:kustaiko|s 8. arznas̱:kuati:ias:ozias:uertatosue:temeiue:robiseti:saum:tekametinas:tatuz:somei 9. enitouzei:iste:ankios:iste:esankios:uze:areitena:sarniki:ei:akainakubos 10. nebintoṟ:tokoitei:ios:ur:antiomue:auzeti:aratimue:tekam̲:etam:ṯa̱tuz:iom:tokoitoskue 11. sarnik̲i̲okue:aiuizas:kombalkores:aleites:iste:ik̲u̲es:ruzimuz:abulu:ubokum B: 1. lubos:kounesikum:melmunos:bintis:letontu:litokum 2. abulos:bintis:melmu:bara̲u̱z̲anko:lesunos:bintis 3. letontu:ubokum:turo:bintis:lubinaz:aiu:berkantikum 4. abulos:bintis:tirtu:aiankum:abulos:bintis:abulu:louzokum 5. useizunos:bintis:akainaz:letontu:uikanokum:suo̱stuno- 6. s:bintis:tirtanos:statulikum:lesunos:bintis:nouantub̲o̲s 7. letontu:aiankum:melmunos:bintis:useizu:aiankum:tauro 8. keṉtis:abulu:aiankum:tauro:bintis:letontu:letikum:abulos:bintis 9. [-2/3-]u̱kontaz:letontu:esokum:abulos:bintis;Botorrita;Zaragoza;BRONCE;LAMINA/PLANCHA;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;DOS PUNTOS;Antes de c. 70 a.C.
Cabezo de las Minas (Contrebia Belaisca);K.01.02;Z.09.02;Cara A: [---]su̱ro [---]ntikum [---]ṟkum [---]s [---]ṟzone̱i [---]e̱s Cara B: [---]abi [---]kikus [---]kionti [---]i [---]om;Botorrita;Zaragoza;BRONCE;LAMINA/PLANCHA;DEXTROGIRA;INCISION;CELTIBERICO E.;NO DUAL;CARECE;Antes de c. 70 a.C.
